Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.42972       27.408       27.000       2000.0       1.1690       1.7645       338.00      0.50000      0.49727       15.000       2.3743      0.81443    
  2  0.39065       27.408       27.000       2200.0       1.1690       1.7645       338.00      0.50000      0.85553       26.394       3.7135      0.83298    
  3  0.35810       27.408       27.000       2400.0       1.1690       1.7645       338.00      0.50000       1.2870       39.536       5.1206      0.82945    
  4  0.33055       27.408       27.000       2600.0       1.1690       1.7645       338.00      0.50000       1.7983       54.494       6.6049      0.81818    
  5  0.30694       27.408       27.000       2800.0       1.1690       1.7645       338.00      0.50000       2.3966       71.334       8.1737      0.80363    
  6  0.28648       27.408       27.000       3000.0       1.1690       1.7645       338.00      0.50000       3.0892       90.115       9.8332      0.78761    
  7  0.26857       27.408       27.000       3200.0       1.1690       1.7645       338.00      0.50000       3.8834       110.89       11.589      0.77099    
  8  0.25278       27.408       27.000       3400.0       1.1690       1.7645       338.00      0.50000       4.7871       133.72       13.445      0.75422    
  9  0.23873       27.408       27.000       3600.0       1.1690       1.7645       338.00      0.50000       5.8080       158.65       15.406      0.73754    
 10  0.22617       27.408       27.000       3800.0       1.1690       1.7645       338.00      0.50000       6.9542       185.73       17.476      0.72112    
 11  0.21486       27.408       27.000       4000.0       1.1690       1.7645       338.00      0.50000       8.2341       215.01       19.657      0.70503    
 12  0.20463       27.408       27.000       4200.0       1.1690       1.7645       338.00      0.50000       9.6563       246.53       21.955      0.68933    
 13  0.19533       27.408       27.000       4400.0       1.1690       1.7645       338.00      0.50000       11.230       280.34       24.372      0.67404    
 14  0.18683       27.408       27.000       4600.0       1.1690       1.7645       338.00      0.50000       12.963       316.49       26.911      0.65919    
 15  0.17905       27.408       27.000       4800.0       1.1690       1.7645       338.00      0.50000       14.867       355.03       29.577      0.64478    
 16  0.17189       27.408       27.000       5000.0       1.1690       1.7645       338.00      0.50000       16.950       396.00       32.372      0.63080    
 17  0.16528       27.408       27.000       5200.0       1.1690       1.7645       338.00      0.50000       19.224       439.47       35.302      0.61724    
 18  0.15915       27.408       27.000       5400.0       1.1690       1.7645       338.00      0.50000       21.698       485.47       38.370      0.60411    
 19  0.15347       27.408       27.000       5600.0       1.1690       1.7645       338.00      0.50000       24.384       534.08       41.581      0.59137    
 20  0.14818       27.408       27.000       5800.0       1.1690       1.7645       338.00      0.50000       27.295       585.36       44.940      0.57902    
 21  0.14324       27.408       27.000       6000.0       1.1690       1.7645       338.00      0.50000       30.443       639.36       48.451      0.56705    
 22  0.13862       27.408       27.000       6200.0       1.1690       1.7645       338.00      0.50000       33.840       696.15       52.121      0.55544    
 23  0.13429       27.408       27.000       6400.0       1.1690       1.7645       338.00      0.50000       37.506       755.82       55.961      0.54411    
 24  0.13022       27.408       27.000       6600.0       1.1690       1.7645       338.00      0.50000       41.463       818.42       59.991      0.53294    
 25  0.12639       27.408       27.000       6800.0       1.1690       1.7645       338.00      0.50000       45.747       884.01       64.243      0.52175    
 26  0.12278       27.408       27.000       7000.0       1.1690       1.7645       338.00      0.50000       50.402       952.64       68.758      0.51032    
