Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.10000       23.507       27.000       8594.4       1.1690       1.7645       338.00      0.50000       60.009       1019.0       66.676      0.45848    
  2  0.12000       23.507       27.000       7162.0       1.1690       1.7645       338.00      0.50000       29.764       621.48       39.685      0.56377    
  3  0.14000       23.507       27.000       6138.8       1.1690       1.7645       338.00      0.50000       17.838       407.52       27.748      0.61683    
  4  0.16000       23.507       27.000       5371.5       1.1690       1.7645       338.00      0.50000       11.500       280.76       20.445      0.65915    
  5  0.18000       23.507       27.000       4774.6       1.1690       1.7645       338.00      0.50000       7.7824       200.02       15.565      0.69393    
  6  0.20000       23.507       27.000       4297.2       1.1690       1.7645       338.00      0.50000       5.4496       145.81       12.110      0.72240    
  7  0.22000       23.507       27.000       3906.5       1.1690       1.7645       338.00      0.50000       3.9090       107.91       9.5552      0.74539    
  8  0.24000       23.507       27.000       3581.0       1.1690       1.7645       338.00      0.50000       2.8493       80.556       7.5981      0.76335    
  9  0.26000       23.507       27.000       3305.5       1.1690       1.7645       338.00      0.50000       2.0959       60.270       6.0548      0.77642    
 10  0.28000       23.507       27.000       3069.4       1.1690       1.7645       338.00      0.50000       1.5453       44.886       4.8076      0.78427    
 11  0.30000       23.507       27.000       2864.8       1.1690       1.7645       338.00      0.50000       1.1335       32.996       3.7783      0.78597    
 12  0.32000       23.507       27.000       2685.7       1.1690       1.7645       338.00      0.50000      0.81940       23.653       2.9134      0.77940    
 13  0.34000       23.507       27.000       2527.8       1.1690       1.7645       338.00      0.50000      0.57575       16.207       2.1751      0.76002    
 14  0.36000       23.507       27.000       2387.3       1.1690       1.7645       338.00      0.50000      0.38399       10.197       1.5360      0.71699    
 15  0.38000       23.507       27.000       2261.7       1.1690       1.7645       338.00      0.50000      0.23120       5.2939      0.97616      0.61824    
 16  0.40000       23.507       27.000       2148.6       1.1690       1.7645       338.00      0.50000      0.10817       1.2566      0.48077      0.31365    
