Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15527E-01   20.481       2.0000       4100.0       1.1690       1.7645       338.00      0.50000       2.2088       158.88       5.1445      0.14386    
  2  0.31055E-01   20.481       4.0000       4100.0       1.1690       1.7645       338.00      0.50000       2.2104       145.27       5.1483      0.26287    
  3  0.46582E-01   20.481       6.0000       4100.0       1.1690       1.7645       338.00      0.50000       2.2118       133.24       5.1515      0.36144    
  4  0.62109E-01   20.481       8.0000       4100.0       1.1690       1.7645       338.00      0.50000       2.2108       122.49       5.1491      0.44325    
  5  0.77637E-01   20.481       10.000       4100.0       1.1690       1.7645       338.00      0.50000       2.2052       112.76       5.1362      0.51134    
  6  0.93164E-01   20.481       12.000       4100.0       1.1690       1.7645       338.00      0.50000       2.1934       103.85       5.1087      0.56815    
  7  0.10869       20.481       14.000       4100.0       1.1690       1.7645       338.00      0.50000       2.1739       95.592       5.0631      0.61563    
  8  0.12422       20.481       16.000       4100.0       1.1690       1.7645       338.00      0.50000       2.1452       87.859       4.9964      0.65530    
  9  0.13975       20.481       18.000       4100.0       1.1690       1.7645       338.00      0.50000       2.1062       80.545       4.9056      0.68835    
 10  0.15527       20.481       20.000       4100.0       1.1690       1.7645       338.00      0.50000       2.0556       73.559       4.7877      0.71570    
 11  0.17080       20.481       22.000       4100.0       1.1690       1.7645       338.00      0.50000       1.9920       66.823       4.6394      0.73803    
 12  0.18633       20.481       24.000       4100.0       1.1690       1.7645       338.00      0.50000       1.9139       60.272       4.4578      0.75579    
 13  0.20186       20.481       26.000       4100.0       1.1690       1.7645       338.00      0.50000       1.8202       53.849       4.2394      0.76920    
 14  0.21738       20.481       28.000       4100.0       1.1690       1.7645       338.00      0.50000       1.7093       47.507       3.9811      0.77821    
 15  0.23291       20.481       30.000       4100.0       1.1690       1.7645       338.00      0.50000       1.5800       41.206       3.6800      0.78239    
