Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-01   16.588       1.0000       2000.0       1.1690       1.7645       338.00      0.50000      0.35133       45.689       1.6775      0.13005    
  2  0.14469E-01   16.588       1.0000       2200.0       1.1690       1.7645       338.00      0.50000      0.46627       55.789       2.0239      0.11965    
  3  0.13263E-01   16.588       1.0000       2400.0       1.1690       1.7645       338.00      0.50000      0.60394       66.917       2.4030      0.11080    
  4  0.12243E-01   16.588       1.0000       2600.0       1.1690       1.7645       338.00      0.50000      0.76647       79.077       2.8151      0.10317    
  5  0.11368E-01   16.588       1.0000       2800.0       1.1690       1.7645       338.00      0.50000      0.95600       92.277       3.2604      0.96524E-01
  6  0.10610E-01   16.588       1.0000       3000.0       1.1690       1.7645       338.00      0.50000       1.1747       106.52       3.7392      0.90681E-01
  7  0.99472E-02   16.588       1.0000       3200.0       1.1690       1.7645       338.00      0.50000       1.4248       121.83       4.2519      0.85504E-01
  8  0.93621E-02   16.588       1.0000       3400.0       1.1690       1.7645       338.00      0.50000       1.7086       138.19       4.7987      0.80884E-01
  9  0.88419E-02   16.588       1.0000       3600.0       1.1690       1.7645       338.00      0.50000       2.0283       155.64       5.3801      0.76734E-01
 10  0.83766E-02   16.588       1.0000       3800.0       1.1690       1.7645       338.00      0.50000       2.3863       174.16       5.9966      0.72985E-01
 11  0.79577E-02   16.588       1.0000       4000.0       1.1690       1.7645       338.00      0.50000       2.7850       193.79       6.6487      0.69582E-01
 12  0.75788E-02   16.588       1.0000       4200.0       1.1690       1.7645       338.00      0.50000       3.2269       214.52       7.3369      0.66477E-01
 13  0.72343E-02   16.588       1.0000       4400.0       1.1690       1.7645       338.00      0.50000       3.7146       236.37       8.0617      0.63633E-01
 14  0.69198E-02   16.588       1.0000       4600.0       1.1690       1.7645       338.00      0.50000       4.2506       259.36       8.8239      0.61018E-01
 15  0.66315E-02   16.588       1.0000       4800.0       1.1690       1.7645       338.00      0.50000       4.8376       283.50       9.6241      0.58604E-01
 16  0.63662E-02   16.588       1.0000       5000.0       1.1690       1.7645       338.00      0.50000       5.4785       308.81       10.463      0.56369E-01
 17  0.61213E-02   16.588       1.0000       5200.0       1.1690       1.7645       338.00      0.50000       6.1761       335.31       11.342      0.54292E-01
 18  0.58946E-02   16.588       1.0000       5400.0       1.1690       1.7645       338.00      0.50000       6.9334       363.02       12.261      0.52358E-01
 19  0.56841E-02   16.588       1.0000       5600.0       1.1690       1.7645       338.00      0.50000       7.7536       391.95       13.222      0.50551E-01
 20  0.54881E-02   16.588       1.0000       5800.0       1.1690       1.7645       338.00      0.50000       8.6399       422.14       14.225      0.48859E-01
 21  0.53052E-02   16.588       1.0000       6000.0       1.1690       1.7645       338.00      0.50000       9.5957       453.60       15.272      0.47271E-01
 22  0.51340E-02   16.588       1.0000       6200.0       1.1690       1.7645       338.00      0.50000       10.625       486.37       16.364      0.45777E-01
 23  0.49736E-02   16.588       1.0000       6400.0       1.1690       1.7645       338.00      0.50000       11.731       520.47       17.503      0.44369E-01
 24  0.48229E-02   16.588       1.0000       6600.0       1.1690       1.7645       338.00      0.50000       12.917       555.94       18.690      0.43038E-01
 25  0.46810E-02   16.588       1.0000       6800.0       1.1690       1.7645       338.00      0.50000       14.189       592.81       19.926      0.41779E-01
 26  0.45473E-02   16.588       1.0000       7000.0       1.1690       1.7645       338.00      0.50000       15.551       631.12       21.214      0.40584E-01
