Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.15915E-04   29.634      0.10000E-02   2000.0       1.1690       1.7645       338.00      0.50000       1.3614       129.32       6.5002      0.94990E-04
  2  0.14469E-04   29.634      0.10000E-02   2200.0       1.1690       1.7645       338.00      0.50000       1.8122       156.67       7.8659      0.86455E-04
  3  0.13263E-04   29.634      0.10000E-02   2400.0       1.1690       1.7645       338.00      0.50000       2.3530       186.64       9.3624      0.79319E-04
  4  0.12243E-04   29.634      0.10000E-02   2600.0       1.1690       1.7645       338.00      0.50000       2.9938       219.35       10.996      0.73268E-04
  5  0.11368E-04   29.634      0.10000E-02   2800.0       1.1690       1.7645       338.00      0.50000       3.7430       254.78       12.765      0.68068E-04
  6  0.10610E-04   29.634      0.10000E-02   3000.0       1.1690       1.7645       338.00      0.50000       4.6109       293.04       14.677      0.63555E-04
  7  0.99472E-05   29.634      0.10000E-02   3200.0       1.1690       1.7645       338.00      0.50000       5.6044       333.99       16.724      0.59594E-04
  8  0.93621E-05   29.634      0.10000E-02   3400.0       1.1690       1.7645       338.00      0.50000       6.7325       377.60       18.909      0.56086E-04
  9  0.88419E-05   29.634      0.10000E-02   3600.0       1.1690       1.7645       338.00      0.50000       8.0081       424.15       21.242      0.52965E-04
 10  0.83766E-05   29.634      0.10000E-02   3800.0       1.1690       1.7645       338.00      0.50000       9.4396       473.55       23.721      0.50166E-04
 11  0.79577E-05   29.634      0.10000E-02   4000.0       1.1690       1.7645       338.00      0.50000       11.037       525.84       26.350      0.47641E-04
 12  0.75788E-05   29.634      0.10000E-02   4200.0       1.1690       1.7645       338.00      0.50000       12.812       581.05       29.130      0.45352E-04
 13  0.72343E-05   29.634      0.10000E-02   4400.0       1.1690       1.7645       338.00      0.50000       14.775       639.24       32.066      0.43265E-04
 14  0.69198E-05   29.634      0.10000E-02   4600.0       1.1690       1.7645       338.00      0.50000       16.937       700.44       35.160      0.41356E-04
 15  0.66315E-05   29.634      0.10000E-02   4800.0       1.1690       1.7645       338.00      0.50000       19.310       764.71       38.416      0.39601E-04
 16  0.63662E-05   29.634      0.10000E-02   5000.0       1.1690       1.7645       338.00      0.50000       21.907       832.10       41.839      0.37983E-04
 17  0.61213E-05   29.634      0.10000E-02   5200.0       1.1690       1.7645       338.00      0.50000       24.740       902.66       45.433      0.36486E-04
 18  0.58946E-05   29.634      0.10000E-02   5400.0       1.1690       1.7645       338.00      0.50000       27.823       976.46       49.202      0.35095E-04
 19  0.56841E-05   29.634      0.10000E-02   5600.0       1.1690       1.7645       338.00      0.50000       31.170       1053.6       53.152      0.33800E-04
 20  0.54881E-05   29.634      0.10000E-02   5800.0       1.1690       1.7645       338.00      0.50000       34.796       1134.0       57.289      0.32591E-04
 21  0.53052E-05   29.634      0.10000E-02   6000.0       1.1690       1.7645       338.00      0.50000       38.717       1218.0       61.619      0.31459E-04
 22  0.51340E-05   29.634      0.10000E-02   6200.0       1.1690       1.7645       338.00      0.50000       42.986       1306.1       66.208      0.30384E-04
 23  0.49736E-05   29.634      0.10000E-02   6400.0       1.1690       1.7645       338.00      0.50000       47.523       1396.9       70.909      0.29394E-04
 24  0.48229E-05   29.634      0.10000E-02   6600.0       1.1690       1.7645       338.00      0.50000       52.462       1491.4       75.905      0.28428E-04
 25  0.46810E-05   29.634      0.10000E-02   6800.0       1.1690       1.7645       338.00      0.50000       57.815       1590.0       81.191      0.27500E-04
 26  0.45473E-05   29.634      0.10000E-02   7000.0       1.1690       1.7645       338.00      0.50000       63.637       1692.4       86.813      0.26594E-04
